PID,RAJ2000,DECJ2000,umag,gmag,rmag,imag,zmag,Jmag,Hmag,Nobsreq,Nrepeat,priority,surveypriority,Nobsdone
cosmo,178.08958,-0.938067,23.04432487487793,23.04432487487793,23.04432487487793,23.04432487487793,23.04432487487793,23.04432487487793,23.04432487487793,1.0,1.0,1.0,1.0,0.0
cosmo,178.067415,-0.937453,24.146503448486328,24.146503448486328,24.146503448486328,24.146503448486328,24.146503448486328,24.146503448486328,24.146503448486328,1.0,1.0,1.0,1.0,0.0
cosmo,178.139442,-0.936929,24.368896484375,24.368896484375,24.368896484375,24.368896484375,24.368896484375,24.368896484375,24.368896484375,1.0,1.0,1.0,1.0,0.0
cosmo,178.483085,-0.936532,23.360401153564453,23.360401153564453,23.360401153564453,23.360401153564453,23.360401153564453,23.360401153564453,23.360401153564453,1.0,1.0,1.0,1.0,0.0
cosmo,178.164926,-0.935385,23.847139358520508,23.847139358520508,23.847139358520508,23.847139358520508,23.847139358520508,23.847139358520508,23.847139358520508,1.0,1.0,1.0,1.0,0.0
cosmo,178.489682,-0.933705,24.24656867980957,24.24656867980957,24.24656867980957,24.24656867980957,24.24656867980957,24.24656867980957,24.24656867980957,1.0,1.0,1.0,1.0,0.0
cosmo,178.467466,-0.932898,23.731155395507812,23.731155395507812,23.731155395507812,23.731155395507812,23.731155395507812,23.731155395507812,23.731155395507812,1.0,1.0,1.0,1.0,0.0
cosmo,178.108858,-0.932042,24.28065299987793,24.28065299987793,24.28065299987793,24.28065299987793,24.28065299987793,24.28065299987793,24.28065299987793,1.0,1.0,1.0,1.0,0.0
cosmo,178.236836,-0.931435,23.32086181640625,23.32086181640625,23.32086181640625,23.32086181640625,23.32086181640625,23.32086181640625,23.32086181640625,1.0,1.0,1.0,1.0,0.0
cosmo,178.243238,-0.931449,24.377750396728516,24.377750396728516,24.377750396728516,24.377750396728516,24.377750396728516,24.377750396728516,24.377750396728516,1.0,1.0,1.0,1.0,0.0
cosmo,178.119907,-0.930452,23.51581573486328,23.51581573486328,23.51581573486328,23.51581573486328,23.51581573486328,23.51581573486328,23.51581573486328,1.0,1.0,1.0,1.0,0.0
cosmo,178.116692,-0.930032,24.419878005981445,24.419878005981445,24.419878005981445,24.419878005981445,24.419878005981445,24.419878005981445,24.419878005981445,1.0,1.0,1.0,1.0,0.0
cosmo,178.458124,-0.928721,23.96663475036621,23.96663475036621,23.96663475036621,23.96663475036621,23.96663475036621,23.96663475036621,23.96663475036621,1.0,1.0,1.0,1.0,0.0
cosmo,178.432721,-0.928415,23.052907943725586,23.052907943725586,23.052907943725586,23.052907943725586,23.052907943725586,23.052907943725586,23.052907943725586,1.0,1.0,1.0,1.0,0.0
cosmo,178.151453,-0.927716,23.707599639892578,23.707599639892578,23.707599639892578,23.707599639892578,23.707599639892578,23.707599639892578,23.707599639892578,1.0,1.0,1.0,1.0,0.0
cosmo,178.31902,-0.927665,23.7724552154541,23.7724552154541,23.7724552154541,23.7724552154541,23.7724552154541,23.7724552154541,23.7724552154541,1.0,1.0,1.0,1.0,0.0
cosmo,178.020057,-0.927083,24.445449829101562,24.445449829101562,24.445449829101562,24.445449829101562,24.445449829101562,24.445449829101562,24.445449829101562,1.0,1.0,1.0,1.0,0.0
cosmo,178.47957,-0.926641,23.031362533569336,23.031362533569336,23.031362533569336,23.031362533569336,23.031362533569336,23.031362533569336,23.031362533569336,1.0,1.0,1.0,1.0,0.0
cosmo,178.077281,-0.926459,23.18171501159668,23.18171501159668,23.18171501159668,23.18171501159668,23.18171501159668,23.18171501159668,23.18171501159668,1.0,1.0,1.0,1.0,0.0
cosmo,178.150734,-0.924342,24.287267684936523,24.287267684936523,24.287267684936523,24.287267684936523,24.287267684936523,24.287267684936523,24.287267684936523,1.0,1.0,1.0,1.0,0.0
cosmo,178.224441,-0.923415,24.335012435913086,24.335012435913086,24.335012435913086,24.335012435913086,24.335012435913086,24.335012435913086,24.335012435913086,1.0,1.0,1.0,1.0,0.0
cosmo,178.447223,-0.923125,24.46988296508789,24.46988296508789,24.46988296508789,24.46988296508789,24.46988296508789,24.46988296508789,24.46988296508789,1.0,1.0,1.0,1.0,0.0
cosmo,178.32629,-0.923155,24.215333938598633,24.215333938598633,24.215333938598633,24.215333938598633,24.215333938598633,24.215333938598633,24.215333938598633,1.0,1.0,1.0,1.0,0.0
cosmo,178.124635,-0.922569,23.648563385009766,23.648563385009766,23.648563385009766,23.648563385009766,23.648563385009766,23.648563385009766,23.648563385009766,1.0,1.0,1.0,1.0,0.0
cosmo,178.255396,-0.919479,24.471630096435547,24.471630096435547,24.471630096435547,24.471630096435547,24.471630096435547,24.471630096435547,24.471630096435547,1.0,1.0,1.0,1.0,0.0
cosmo,178.476442,-0.918188,23.013872146606445,23.013872146606445,23.013872146606445,23.013872146606445,23.013872146606445,23.013872146606445,23.013872146606445,1.0,1.0,1.0,1.0,0.0
cosmo,178.20825,-0.916104,24.266342163085938,24.266342163085938,24.266342163085938,24.266342163085938,24.266342163085938,24.266342163085938,24.266342163085938,1.0,1.0,1.0,1.0,0.0
cosmo,178.055273,-0.91548,24.320743560791016,24.320743560791016,24.320743560791016,24.320743560791016,24.320743560791016,24.320743560791016,24.320743560791016,1.0,1.0,1.0,1.0,0.0
cosmo,178.38064,-0.915129,23.486970901489258,23.486970901489258,23.486970901489258,23.486970901489258,23.486970901489258,23.486970901489258,23.486970901489258,1.0,1.0,1.0,1.0,0.0
cosmo,178.095086,-0.915117,23.228357315063477,23.228357315063477,23.228357315063477,23.228357315063477,23.228357315063477,23.228357315063477,23.228357315063477,1.0,1.0,1.0,1.0,0.0
cosmo,178.253602,-0.914907,23.926267623901367,23.926267623901367,23.926267623901367,23.926267623901367,23.926267623901367,23.926267623901367,23.926267623901367,1.0,1.0,1.0,1.0,0.0
cosmo,178.117611,-0.913156,24.390371322631836,24.390371322631836,24.390371322631836,24.390371322631836,24.390371322631836,24.390371322631836,24.390371322631836,1.0,1.0,1.0,1.0,0.0
