wave skycount targetcount
3840.1543691878637 2.6873670525198125e-06 1.448153845816445e-07
3841.034512831877 1.7751809167329437e-06 1.449683997254888e-07
3841.9144994120707 1.8126574437688015e-06 1.4512104990266145e-07
3842.7943289564737 2.8120934963421745e-06 1.452706730195425e-07
3843.6740014931097 1.8876292133425525e-06 1.4542226571493654e-07
3844.5535170499966 1.925294482728287e-06 1.4557551769072024e-07
3845.432875655148 1.962974492772302e-06 1.45725750143076e-07
3846.3120773365727 2.7654185231386637e-06 1.4587604914788083e-07
3847.1911221222736 2.001745716419757e-06 1.4602918281720192e-07
3848.0700100402496 2.009952721628403e-06 1.4618012548946575e-07
3848.9487411184937 2.0180079234159703e-06 1.4632860988323818e-07
3849.8273153849946 2.026079306394844e-06 1.46477291199363e-07
3850.7057328677356 2.0344578212294756e-06 1.4664157503522724e-07
3851.5839935946956 2.0429361725382622e-06 1.4681019938463365e-07
3852.4620975938474 2.0514686067492303e-06 1.4698042617869308e-07
3853.3400448931598 2.0600529782108768e-06 1.4715214745805863e-07
3854.2178355205965 2.068585772720156e-06 1.473210006855308e-07
3855.0954695041155 2.0770994328919804e-06 1.4748837335610063e-07
3855.9729468716705 2.08563867550182e-06 1.4765614479987513e-07
3856.8502676512103 2.088050481754742e-06 1.478238338073744e-07
3857.727431870678 2.0894212130149027e-06 1.4799147203099467e-07
3858.6044395580125 2.0908133818712764e-06 1.4816005290336307e-07
3859.481290741147 2.0922261002771236e-06 1.4832954015255307e-07
3860.35798544801 2.093778119112453e-06 1.485006022902383e-07
3861.234523706525 2.0952812679715455e-06 1.4867070562691728e-07
3862.1109055446113 2.096643425990975e-06 1.4883822428063646e-07
3862.987130990182 2.098005160778988e-06 1.4900577368797853e-07
3863.863200071146 2.0993683701802986e-06 1.4917343302010114e-07
3864.7391128154068 2.1007300943426957e-06 1.493410787296949e-07
3865.6148692508627 2.435636114001654e-06 1.4950871063907757e-07
3866.490469405408 2.1033603288709952e-06 1.4967632886046344e-07
3867.365913306931 2.1045182217267363e-06 1.4984393261507876e-07
3868.2412009833156 2.105674145398845e-06 1.5001152199994975e-07
3869.116332462441 2.106828111840926e-06 1.501790974393413e-07
3869.99130777218 2.1080002828318447e-06 1.5034665876928582e-07
3870.866126940402 2.110099451358588e-06 1.5051420544147637e-07
3871.740789994971 2.1122283012804593e-06 1.506817376944188e-07
3872.6152969637455 2.1143569591142887e-06 1.5084925582285474e-07
3873.4896478745795 2.116485399608841e-06 1.510167587120854e-07
3874.3638427553224 2.1186136498475977e-06 1.511842474385274e-07
3875.2378816338173 2.1207416846736486e-06 1.5135172089162196e-07
3876.111764537904 2.1228112452211513e-06 1.515191793905836e-07
3876.985491495416 2.1228852667967346e-06 1.5168662350420807e-07
3877.8590625341826 2.1229239211324644e-06 1.5185405214914332e-07
