
|   double|   double|  double|double|
|      deg|      deg|        |      |
|     null|     null|    null|  null|
 29.248847 61.856696      1.0    1.0 
 29.969361 62.491862      1.0    1.0 
 29.792697 62.459958      1.0    1.0 
 29.943809 62.489853      1.0    1.0 
 29.207832 61.933409      1.0    1.0 
 29.237058 62.141753      1.0    1.0 
 29.714331 62.440517      1.0    1.0 
 29.219455 61.892138      1.0    1.0 
 29.988139 62.499977      1.0    1.0 
 29.995761 62.502154      1.0    1.0 
 29.189678 62.041246      1.0    1.0 
  29.18486 61.984045      1.0    1.0 
 29.189605 61.950928      1.0    1.0 
  29.68543 62.439716      1.0    1.0 
 29.285139 62.224538      1.0    1.0 
 30.134102 62.520937      1.0    1.0 
 29.179077 61.983651      1.0    1.0 
 29.229273 62.166866      1.0    1.0 
 29.513349  62.38282      1.0    1.0 
 29.271197 61.784813      1.0    1.0 
 29.186023 62.095181      1.0    1.0 
 30.506199 62.523567      1.0    1.0 
 30.316761 62.532419      1.0    1.0 
 29.178195 62.087186      1.0    1.0 
 29.227448 61.828458      1.0    1.0 
 29.793173 62.478882      1.0    1.0 
 29.189424 62.119839      1.0    1.0 
 29.242548 62.201556      1.0    1.0 
 30.149021 62.529706      1.0    1.0 
 30.062054 62.523001      1.0    1.0 
 29.167782  62.06531      1.0    1.0 
 30.317688 62.535262      1.0    1.0 
 29.239852 61.806538      1.0    1.0 
 30.429783  62.53228      1.0    1.0 
 30.050997 62.523155      1.0    1.0 
 30.522003 62.526059      1.0    1.0 
 29.191835 61.872422     11.0    1.0 
 30.063795 62.527531      1.0    1.0 
 30.049694 62.526149      1.0    1.0 
 29.517405  62.39707      1.0    1.0 
 29.695989 62.460926      1.0    1.0 
 29.919449  62.51072      1.0    1.0 
 29.541196 62.410364      1.0    1.0 
 29.149763 61.955689      1.0    1.0 
 29.213122 62.187766      1.0    1.0 
 29.444505 62.367182      1.0    1.0 
 29.219531 61.810514      1.0    1.0 
 29.162892 62.104181      1.0    1.0 
 30.253589 62.542657      1.0    1.0 
 30.513631 62.534141      1.0    1.0 
 29.585406 62.430494      1.0    1.0 
